============================================================
LATIN TREEBANK ANALYSIS (Perseus + PROIEL)
Source: High-quality hand-annotated lemmas (CoNLL-U)
============================================================

Total Filtered Tokens: 140927

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 5)
------------------------------------------------------------
Collocation                    | PMI        | Count
('absens', 'praesens')         |       8.19 |     7
('semino', 'meto')             |       8.14 |     8
('aes', 'alienus')             |       8.14 |     6
('vicus', 'incendo')           |       8.14 |     6
('frigidus', 'calidus')        |       8.14 |     7
('eicio', 'daemon')            |       8.12 |     5
('signo', 'tribus')            |       8.11 |     6
('aperio', 'sigillum')         |       8.10 |     9
('saluto', 'osculum')          |       8.10 |     5
('iacob', 'zebedaeus')         |       8.10 |     6
('pulso', 'aperio')            |       8.07 |     8
('iohannes', 'baptista')       |       8.05 |    15
('hiem(p)s', 'aestas')         |       8.04 |     5
('vae', 'hypocrita')           |       8.00 |     6
('caveo', 'fermentum')         |       7.99 |     5
('mensis', 'ianuarius')        |       7.97 |    13
('cano', 'tuba')               |       7.94 |     5
('oculus', 'trabs')            |       7.91 |     6
('contumelia', 'afficio')      |       7.89 |     5
('saulus', 'persequor')        |       7.86 |     6
('caecus', 'claudus')          |       7.85 |     5
('hora', 'nonus')              |       7.83 |    12
('altare', 'iuro')             |       7.80 |     5
('quintus', 'titurius')        |       7.79 |     8
('sol', 'luna')                |       7.77 |    10
('vetus', 'alioqui(n)')        |       7.75 |     5
('novissimus', 'agmen')        |       7.75 |     6
('diligo', 'proximum')         |       7.73 |    10
('meto', 'semino')             |       7.73 |     6
('scabillum', 'pes')           |       7.73 |     6
('aperio', 'signaculum')       |       7.71 |     5
('lapis', 'pretiosus')         |       7.71 |     8
('ligo', 'solvo')              |       7.70 |     7
('dignus', 'calceamentum')     |       7.68 |     5
('constitutio', 'mundus')      |       7.67 |     6
('publicanus', 'peccator')     |       7.66 |     8
('trabs', 'oculus')            |       7.64 |     5
('simon', 'scarioth')          |       7.63 |     5
('misericordia', 'consequor')  |       7.60 |     9
('honoro', 'mater')            |       7.60 |     6
('stagnum', 'ignis')           |       7.59 |     6
('diligo', 'benefacio')        |       7.59 |     7
('circiter', 'passus')         |       7.59 |     8
('gehenna', 'ignis')           |       7.57 |     5
('scriba', 'hypocrita')        |       7.57 |     6
('senatus', 'consultum')       |       7.56 |    35
('velo', 'caput')              |       7.56 |     7
('bestia', 'imago')            |       7.55 |     9
('tollo', 'grabattus')         |       7.54 |     8
('benedico', 'frango')         |       7.54 |     6
('marcus', 'piso')             |       7.52 |     8
('draco', 'bestia')            |       7.52 |     5
('simon', 'andreas')           |       7.51 |     5
('usque', 'hodiernus')         |       7.50 |     7
('uter', 'pereo')              |       7.49 |     6
('pharisaeus', 'sadducaei')    |       7.49 |     7
('mensis', 'februarius')       |       7.40 |     6
('fiala', 'plenus')            |       7.39 |     5
('lucius', 'domitius')         |       7.38 |     8
('agricola', 'fructus')        |       7.36 |     5
('tantum', 'quantum')          |       7.36 |    10
('tribunus', 'plebs')          |       7.36 |    30
('maria', 'ioseph')            |       7.34 |     9
('iordanes', 'baptizo')        |       7.30 |     5
('ius', 'iuro')                |       7.26 |    15
('calix', 'bibo')              |       7.26 |    12
('grabattus', 'ambulo')        |       7.24 |     5
('vendo', 'emo')               |       7.23 |     9
('tenebrae', 'compr(eh)endo')  |       7.23 |     5
('publius', 'clodius')         |       7.22 |     8
('simon', 'cognomino')         |       7.21 |     5
('legio', 'conscribo')         |       7.20 |     7
('reputo', 'iustitia')         |       7.17 |     6
('porta', 'murus')             |       7.15 |     6
('ter', 'nego')                |       7.13 |     6
('panis', 'piscis')            |       7.13 |    12
('quintus', 'sabinus')         |       7.11 |     5
('pauper', 'beatus')           |       7.11 |     5
('titurius', 'legatus')        |       7.10 |     5
('ibi', 'stridor')             |       7.10 |     5
('panis', 'quot')              |       7.08 |     6
('signum', 'prodigium')        |       7.07 |     8
('suscito', 'mortuus')         |       7.07 |    17
('adoro', 'imago')             |       7.04 |     7
('novus', 'uter')              |       7.03 |     8
('moleste', 'fero')            |       7.02 |    11
('greek.expression', 'istuc')  |       7.01 |     7
('fermentum', 'pharisaeus')    |       7.00 |     5
('remissio', 'peccatum')       |       7.00 |     8
('gallus', 'nego')             |       6.99 |     6
('pharisaeus', 'hypocrita')    |       6.99 |     6
('cado', 'spina')              |       6.97 |     6
('sequani', 'helvetii')        |       6.97 |     7
('princeps', 'sacerdos')       |       6.96 |    63
('falsus', 'testimonium')      |       6.95 |     8
('pes', 'semis')               |       6.95 |     7
('fumus', 'saeculum')          |       6.94 |     6
('resurrectio', 'mortuus')     |       6.94 |    14
('iacob', 'ioseph')            |       6.93 |     8
('persecutio', 'patior')       |       6.92 |     5
('ascendo', 'navicula')        |       6.91 |     7
('lapis', 'destruo')           |       6.90 |     6
('primus', 'cathedra')         |       6.90 |     5
('tenebrae', 'lux')            |       6.88 |     8
('intus', 'plenus')            |       6.87 |     5
('lutum', 'oculus')            |       6.87 |     5
('singulus', 'bini')           |       6.86 |     5
('os', 'draco')                |       6.85 |     6
('draco', 'os')                |       6.85 |     6
('angelus', 'tuba')            |       6.84 |    16
('paulus', 'silas')            |       6.82 |     6
('cum', 'tum')                 |       6.82 |    35
('sacerdos', 'scriba')         |       6.82 |    22
('explorator', 'certus')       |       6.81 |     5
('piso', 'consul')             |       6.81 |    10
('mortuus', 'resurgo')         |       6.81 |    18
('extendo', 'manus')           |       6.79 |    16
('baptismum', 'iohannes')      |       6.79 |     5
('pons', 'praesidium')         |       6.79 |     5
('aurum', 'lapis')             |       6.78 |     5
('adimpleo', 'propheta')       |       6.78 |     7
('adoro', 'bestia')            |       6.77 |    11
('quartus', 'animal')          |       6.76 |     5
('esaias', 'propheta')         |       6.75 |     9
('iordanes', 'iohannes')       |       6.73 |     6
('vestimentum', 'albus')       |       6.73 |     6
('tertius', 'vigilia')         |       6.73 |     5
('turba', 'comprimo')          |       6.71 |     5
('duco', 'moechor')            |       6.71 |     5
('imago', 'bestia')            |       6.70 |     5
('perhibeo', 'verus')          |       6.68 |     8
('tango', 'confestim')         |       6.68 |     5
('sacerdos', 'senex')          |       6.66 |    23
('decimus', 'legio')           |       6.65 |     8
('iudaea', 'galilaea')         |       6.64 |     8
('usque', 'nonus')             |       6.64 |     6
('maria', 'iacob')             |       6.64 |    10
('rhenus', 'transeo')          |       6.63 |    18
('uter', 'novus')              |       6.62 |     6
('edo', 'bibo')                |       6.61 |     7
('manduco', 'bibo')            |       6.60 |    32
('sedeo', 'thronus')           |       6.60 |    19
('satanas', 'divido')          |       6.60 |     5
('fons', 'aqua')               |       6.60 |     8
('germani', 'rhenus')          |       6.58 |    10
('tribus', 'lingua')           |       6.57 |     6
('satis', 'commode')           |       6.57 |     6
('seminarium', 'debeo')        |       6.56 |     5
('absconditus', 'reddo')       |       6.56 |     6
('invoco', 'nomen')            |       6.55 |     9
('messalla', 'consul')         |       6.54 |     5
('simon', 'petrus')            |       6.53 |    30
('dux', 'caecus')              |       6.53 |     6
('crucifigo', 'pilatus')       |       6.53 |     7
('moses', 'helias')            |       6.52 |     5
('eicio', 'foras')             |       6.52 |     6
('gladius', 'percutio')        |       6.52 |     5
('iam', 'pridem')              |       6.52 |    13
('iacob', 'iudas')             |       6.51 |     6
('vinum', 'effundo')           |       6.50 |     6
('universus', 'orbis')         |       6.49 |     6
('vox', 'tonitruum')           |       6.48 |     6
('dimitto', 'barabbas')        |       6.48 |     5
('petrus', 'andreas')          |       6.47 |     5
('senatus', 'recito')          |       6.47 |     5
('ibi', 'fletus')              |       6.46 |     5
('semis', 'pes')               |       6.46 |     5
('lux', 'tenebrae')            |       6.46 |     6
('daemonium', 'eicio')         |       6.45 |    13
('eicio', 'daemonium')         |       6.45 |    13
('vita', 'aeternus')           |       6.43 |    35
('regnum', 'terraemotus')      |       6.43 |     6
('publius', 'crassus')         |       6.42 |     6
('prodigium', 'signum')        |       6.39 |     5
('parabola', 'semino')         |       6.39 |     5
('obses', 'impero')            |       6.39 |     9
('vir', 'israelitae')          |       6.38 |     5
('aedui', 'sequani')           |       6.37 |     5
('praesidium', 'impedimentum') |       6.37 |     5
('canto', 'nego')              |       6.36 |     5
('clamo', 'misereor')          |       6.36 |     7
('labienus', 'legio')          |       6.36 |     6
('osculum', 'sanctus')         |       6.34 |     5
('perhibeo', 'testimonium')    |       6.34 |    11
('aureus', 'plenus')           |       6.33 |     5
('quanto', 'magis')            |       6.33 |    15
('ample', 'passus')            |       6.30 |     6
('populus', 'romanus')         |       6.30 |    79
('thronus', 'animal')          |       6.29 |     5
('ostium', 'aperio')           |       6.28 |     6
('fleo', 'vae')                |       6.27 |     5
('scriba', 'pharisaeus')       |       6.25 |    14
('thronus', 'saeculum')        |       6.25 |     8
('angelus', 'cano')            |       6.23 |     9
('galilaea', 'iudaea')         |       6.23 |     6
('lex', 'peritus')             |       6.22 |     8
('angelus', 'fiala')           |       6.22 |     5
('iter', 'agmen')              |       6.22 |     5
('caput', 'cornu')             |       6.21 |     8
('proelium', 'committo')       |       6.21 |    12
('soror', 'maria')             |       6.20 |     5
('auris', 'ecclesia')          |       6.19 |    13
('iudaei', 'gentilis')         |       6.19 |     5
('vitis', 'sarmentum')         |       6.19 |     5
('vestimentum', 'tango')       |       6.19 |     7
('pono', 'genu')               |       6.19 |     8
('passus', 'absum')            |       6.18 |     7
('cognomino', 'petrus')        |       6.17 |     5
('labienus', 'legatus')        |       6.16 |     5
('praeparo', 'via')            |       6.16 |     5
('impetus', 'sustineo')        |       6.14 |     7
('gnaeus', 'pompeius')         |       6.13 |     5
('metellus', 'consul')         |       6.13 |     6
('bellum', 'infero')           |       6.12 |    23
('panis', 'frango')            |       6.11 |     9
('sedeo', 'tribunal')          |       6.10 |     5
('abraham', 'iacob')           |       6.10 |     7
('resurgo', 'mortuus')         |       6.10 |    11
('mensis', 'sero')             |       6.10 |    11
('arbor', 'fructus')           |       6.09 |    14
('iudaei', 'lapido')           |       6.09 |     5
('membrum', 'corpus')          |       6.09 |    14
('panis', 'benedico')          |       6.08 |     6
('profero', 'malus')           |       6.07 |     6
('saeculum', 'thronus')        |       6.06 |     7
('vae', 'scriba')              |       6.04 |     6
('simon', 'iudas')             |       6.04 |     5
('exclamo', 'vox')             |       6.04 |     8
('manduco', 'saturo')          |       6.03 |     5
('iacob', 'iohannes')          |       6.03 |    16
('spiritus', 'immundus')       |       6.02 |    20
('committo', 'audeo')          |       6.02 |     6
('soror', 'mater')             |       6.02 |     8
('thronus', 'senex')           |       6.01 |     6
('radix', 'arbor')             |       6.00 |     7
('bibo', 'calix')              |       6.00 |     5
('stella', 'cado')             |       5.99 |     5
('helias', 'propheta')         |       5.97 |     7
('tango', 'vestimentum')       |       5.97 |     6
('praedico', 'evangelium')     |       5.96 |    12
('paro', 'pascha')             |       5.96 |     5
('curo', 'valeo')              |       5.96 |    16
('semino', 'semen')            |       5.95 |     7
('ibi', 'dens')                |       5.95 |     5
('novus', 'testamentum')       |       5.94 |     5
('marcus', 'crassus')          |       5.93 |     5
('sabbatum', 'synagoga')       |       5.93 |     7
('paulus', 'barnabas')         |       5.93 |     7
('pars', 'septentriones')      |       5.92 |     6
('semino', 'cado')             |       5.92 |     9
('hora', 'sextus')             |       5.91 |     5
('undique', 'convenio')        |       5.91 |     5
('domitius', 'consul')         |       5.91 |     6
('titus', 'legatus')           |       5.90 |     6
('doceo', 'doctrina')          |       5.90 |     8
('murus', 'lapis')             |       5.90 |     5
('vigilo', 'oro')              |       5.90 |     6
('mina', 'aio')                |       5.90 |     5
('iudicium', 'condemno')       |       5.89 |     5
('honoro', 'pater')            |       5.89 |     8
('honorifico', 'pater')        |       5.89 |     8
('bestia', 'adoro')            |       5.89 |     6
('saeculum', 'amen')           |       5.89 |    19
('lex', 'lucrum')              |       5.89 |     5
('lex', 'abrogo')              |       5.89 |     5
('paulus', 'perduco')          |       5.89 |     6
('impedimentum', 'legio')      |       5.88 |     6
('pes', 'capillus')            |       5.88 |     5
('vae', 'pharisaeus')          |       5.87 |     8
('valde', 'gratus')            |       5.86 |     6
('quo', 'vado')                |       5.85 |    12
('monumentum', 'maria')        |       5.83 |     5
('anima', 'perdo')             |       5.82 |    11
('gratia', 'actio')            |       5.82 |     9
('manduco', 'conscientia')     |       5.82 |     5
('quin', 'etiam')              |       5.82 |     8
('semino', 'via')              |       5.82 |    11
('testimonium', 'verus')       |       5.81 |    12
('discumbo', 'panis')          |       5.81 |     5
('do', 'calculus')             |       5.81 |     6
('sero', 'mensis')             |       5.81 |     9
('multum', 'valeo')            |       5.80 |     9
('celeriter', 'conficio')      |       5.79 |     5
('iniuria', 'infero')          |       5.78 |     7
('iudas', 'trado')             |       5.78 |     9
('senatus', 'decerno')         |       5.78 |    11
('secundus', 'tertius')        |       5.77 |    10
('tertius', 'quartus')         |       5.77 |     5
('principatus', 'potestas')    |       5.77 |     5
('longe', 'absum')             |       5.77 |    12
('adoptio', 'filius')          |       5.77 |     5
('consultum', 'consul')        |       5.77 |     7
('secundus', 'animal')         |       5.76 |     5
('princeps', 'senex')          |       5.75 |    20
('quantum', 'amo')             |       5.74 |     5
('desertus', 'locus')          |       5.74 |     7
('opinor', 'greek.expression') |       5.73 |    11
('vigilo', 'nescio')           |       5.73 |     6
('germani', 'consuetudo')      |       5.73 |     5
('animal', 'senex')            |       5.71 |     6
('barnabas', 'paulus')         |       5.71 |     6
('memoria', 'oratio')          |       5.71 |     5
('tertius', 'resurgo')         |       5.70 |     8
('clamor', 'tollo')            |       5.70 |     5
('curo', 'infirmitas')         |       5.70 |     5
('verbum', 'prophetia')        |       5.69 |     6
('pono', 'candelabrum')        |       5.69 |     5
('intercedo', 'senatus')       |       5.68 |     5
('ut', 'opinor')               |       5.67 |    12
('iudico', 'condemno')         |       5.67 |     5
('mater', 'foris')             |       5.67 |     5
('remitto', 'peccatum')        |       5.66 |     6
('summus', 'sacerdos')         |       5.66 |    20
('tribunus', 'miles')          |       5.66 |    14
('cottidie', 'templum')        |       5.65 |     6
('accipio', 'caracter')        |       5.64 |     5
('altitudo', 'pes')            |       5.64 |     8
('marcus', 'consul')           |       5.64 |    11
('sacerdos', 'concilium')      |       5.63 |     6
('iudaei', 'graeci')           |       5.63 |     8
('impleo', 'scriptura')        |       5.62 |     5
('novus', 'vetus')             |       5.62 |    11
('senex', 'scriba')            |       5.61 |     7
('scriba', 'senex')            |       5.61 |     7
('civitas', 'nazareth')        |       5.61 |     5
('inhabito', 'terra')          |       5.60 |     8
('corpus', 'membrum')          |       5.60 |    10
('ascendo', 'cornu')           |       5.59 |     5
('tollo', 'crux')              |       5.59 |     5
('clamo', 'crucifigo')         |       5.58 |     6
('certo', 'scio')              |       5.58 |     8
('copia', 'traduco')           |       5.58 |     5
('epirus', 'proficiscor')      |       5.58 |     6
('iustifico', 'fides')         |       5.58 |     9
('saeculum', 'senex')          |       5.58 |     9
('rhenus', 'germani')          |       5.58 |     5
('consilium', 'ineo')          |       5.58 |     7
('sabbatum', 'maria')          |       5.57 |     5
('hodiernus', 'dies')          |       5.57 |     8
('iohannes', 'helias')         |       5.57 |     5
('castra', 'munio')            |       5.56 |     7
('inicio', 'manus')            |       5.56 |     5
('vehementer', 'gaudeo')       |       5.56 |     5
('princeps', 'scriba')         |       5.55 |    15
('benedictus', 'nomen')        |       5.55 |     6
('ascendo', 'festus')          |       5.55 |     5
('hora', 'vigilo')             |       5.55 |     6
('aveo', 'scio')               |       5.54 |     5
('adhuc', 'modicus')           |       5.54 |     5
('perdo', 'anima')             |       5.53 |     9
('cornu', 'caput')             |       5.53 |     5
('lex', 'iustifico')           |       5.53 |    11
('sedeo', 'dexter')            |       5.53 |     8
('animal', 'inimicus')         |       5.52 |     5
('castra', 'reduco')           |       5.52 |     5
('an', 'nescio')               |       5.51 |     5
('reliquus', 'belgae')         |       5.51 |     5
('maria', 'mater')             |       5.50 |     7
('via', 'rectus')              |       5.50 |     5
('vox', 'tuba')                |       5.50 |     8
('flumen', 'rhenus')           |       5.50 |     7
('ministro', 'anima')          |       5.50 |     5
('cado', 'adoro')              |       5.50 |     8
('templum', 'vendo')           |       5.49 |     6
('magnus', 'natu')             |       5.49 |     5
('vetus', 'novus')             |       5.48 |    10
('passus', 'castra')           |       5.47 |     9
('praecipio', 'moses')         |       5.47 |     6
('angulus', 'terra')           |       5.47 |     5
('generatio', 'signum')        |       5.46 |     7
('sumo', 'panis')              |       5.46 |     6
('gaudeo', 'gaudium')          |       5.45 |     6
('iacob', 'simon')             |       5.45 |     6
('clamo', 'david')             |       5.45 |     6
('salvus', 'perdo')            |       5.44 |     8
('publicus', 'privatus')       |       5.44 |     6
('recipio', 'merces')          |       5.43 |     5
('andreas', 'frater')          |       5.43 |     6
('bellum', 'gero')             |       5.42 |    27
('vivo', 'saeculum')           |       5.42 |    14
('petrus', 'iacob')            |       5.41 |    12
('exercitus', 'traduco')       |       5.41 |     5
('ascendo', 'hierosolyma')     |       5.41 |    19
('iohannes', 'baptizo')        |       5.41 |    12
('transeo', 'conor')           |       5.41 |     5
('lavo', 'pes')                |       5.40 |     6
('aperio', 'oculus')           |       5.40 |    16
('tango', 'salvus')            |       5.39 |     6
('paenitentia', 'ago')         |       5.39 |    22
('manduco', 'panis')           |       5.39 |    19
('abraham', 'semen')           |       5.39 |     5
('procedo', 'os')              |       5.38 |     6
('auris', 'audio')             |       5.38 |    36
('ecce', 'illic')              |       5.37 |     7
('lucius', 'consul')           |       5.37 |     9
('publicus', 'administro')     |       5.37 |     6
('spiritus', 'sanctus')        |       5.37 |    79
('repleo', 'sanctus')          |       5.37 |     6
('multo', 'magis')             |       5.36 |    16
('inferus', 'pars')            |       5.36 |     7
('hostis', 'conspicio')        |       5.35 |     5
('senatus', 'censeo')          |       5.34 |     5
('bibo', 'baptizo')            |       5.34 |     7
('iohannes', 'desertum')       |       5.33 |     5
('dies', 'natalis')            |       5.33 |     6
('amen', 'merces')             |       5.32 |     5
('occido', 'resurgo')          |       5.32 |     7
('cogitatio', 'cor')           |       5.31 |     5
('iesus', 'nazarenus')         |       5.31 |    16
('dominus', 'omnipotens')      |       5.30 |     8
('fructus', 'arbor')           |       5.29 |     8
('sicut', 'columba')           |       5.28 |     5
('volucris', 'caelum')         |       5.28 |     5
('nisi', 'solus')              |       5.27 |    11
('frango', 'panis')            |       5.26 |     5
('coinquino', 'homo')          |       5.26 |     7
('filius', 'zebedaeus')        |       5.25 |     6
('gloria', 'cupiditas')        |       5.24 |     5
('quam', 'gehenna')            |       5.24 |     6
('gladius', 'sacerdos')        |       5.23 |     5
('verus', 'testimonium')       |       5.23 |     8
('proelium', 'contendo')       |       5.23 |     9
('praedico', 'paenitentia')    |       5.22 |     6
('labienus', 'hostis')         |       5.22 |     5
('invenio', 'pullus')          |       5.22 |     6
('herodes', 'iohannes')        |       5.21 |     6
('aperio', 'os')               |       5.21 |    12
('clamo', 'vox')               |       5.20 |    20
('monumentum', 'lapis')        |       5.20 |     5
('senex', 'adoro')             |       5.20 |     5
('sedes', 'sedeo')             |       5.19 |     6
('falx', 'terra')              |       5.19 |     6
('primus', 'novissimus')       |       5.19 |    12
('locus', 'deligo')            |       5.19 |    11
('res', 'frumentarius')        |       5.18 |    16
('crux', 'sequor')             |       5.18 |     5
('dominus', 'mina')            |       5.17 |     6
('licet', 'sabbatum')          |       5.17 |     7
('universus', 'regio')         |       5.16 |     6
('tuba', 'angelus')            |       5.16 |     5
('potius', 'quam')             |       5.16 |    33
('dies', 'festus')             |       5.16 |    22
('vox', 'saulus')              |       5.16 |     5
('vinum', 'novus')             |       5.15 |     9
('fidelis', 'constituo')       |       5.15 |     6
('obses', 'adduco')            |       5.15 |     5
('thronus', 'liber')           |       5.15 |     6
('sedeo', 'nubes')             |       5.15 |     5
('vitis', 'arbor')             |       5.14 |     7
('panis', 'manduco')           |       5.14 |    16
('praesidium', 'relinquo')     |       5.13 |    12
('ventus', 'mare')             |       5.13 |     7
('interrogo', 'magister')      |       5.12 |     6
('posterus', 'dies')           |       5.12 |    13
('immundus', 'exeo')           |       5.12 |     6
('manus', 'aridus')            |       5.12 |     5
('res', 'publicus')            |       5.12 |   221
('metior', 'civitas')          |       5.11 |     5
('pera', 'ne')                 |       5.11 |     6
('erogo', 'ne')                |       5.11 |     5
('petrus', 'iohannes')         |       5.11 |    20
('herodes', 'rex')             |       5.11 |     6
('impono', 'manus')            |       5.11 |    17
('oro', 'mens')                |       5.11 |     6
('sequens', 'dies')            |       5.10 |     9
('negotium', 'conficio')       |       5.10 |     5
('iudicium', 'generatio')      |       5.10 |     5
('thesaurus', 'caelum')        |       5.10 |     5
('discipulus', 'ieiuno')       |       5.09 |     5
('honor', 'saeculum')          |       5.09 |     5
('amen', 'generatio')          |       5.09 |     5
('ecclesia', 'saluto')         |       5.08 |     6
('alter', 'contemno')          |       5.07 |     5
('apostolus', 'senex')         |       5.07 |     5
('recipio', 'rursus')          |       5.06 |     5
('stella', 'caelum')           |       5.05 |     8
('quomodo', 'modo')            |       5.05 |    18
('copia', 'educo')             |       5.05 |     5
('discedo', 'revertor')        |       5.05 |     6
('gloria', 'honor')            |       5.04 |     9
('legio', 'cohors')            |       5.04 |     5
('miles', 'centurio')          |       5.03 |     5
('filius', 'heres')            |       5.03 |     6
('bestia', 'ascendo')          |       5.03 |     6
('assumo', 'iohannes')         |       5.02 |     6
('lucius', 'legatus')          |       5.02 |     6
('mater', 'maria')             |       5.02 |     5
('primus', 'secundus')         |       5.01 |    12
('mare', 'galilaea')           |       5.01 |     7
('christus', 'timotheus')      |       5.00 |     7
('equus', 'sedeo')             |       5.00 |     7
('tam', 'diu')                 |       5.00 |     8
('baptizo', 'iohannes')        |       4.99 |     9
('invoco', 'dominus')          |       4.98 |     7
('ariovistus', 'copia')        |       4.98 |     5
('dormio', 'nox')              |       4.98 |     5
('exeo', 'semino')             |       4.98 |     9
('amicitia', 'romanus')        |       4.98 |     5
('civis', 'romanus')           |       4.97 |     6
('orbis', 'terra')             |       4.97 |     9
('equitatus', 'proelium')      |       4.96 |     6
('diligo', 'invicem')          |       4.96 |     8
('terraemotus', 'magnus')      |       4.96 |     9
('sigillum', 'audio')          |       4.95 |     5
('fortis', 'dignus')           |       4.95 |     5
('animus', 'ingenium')         |       4.95 |     5
('morior', 'resurgo')          |       4.95 |     6
('helvetii', 'finis')          |       4.95 |     8
('committo', 'gero')           |       4.94 |     5
('committo', 'proelium')       |       4.94 |     5
('doceo', 'synagoga')          |       4.94 |     6
('synagoga', 'iudaei')         |       4.94 |     9
('brevis', 'tempus')           |       4.94 |    12
('vox', 'thronus')             |       4.93 |     8
('sedeo', 'sedes')             |       4.93 |     5
('baptizo', 'aqua')            |       4.93 |     9
('aqua', 'baptizo')            |       4.93 |     9
('quintus', 'frater')          |       4.93 |    35
('copia', 'equitatus')         |       4.93 |     7
('consilium', 'capio')         |       4.93 |    19
('novissimus', 'primus')       |       4.92 |    10
('gloria', 'saeculum')         |       4.92 |    12
('iuro', 'templum')            |       4.92 |     5
('pater', 'absconditus')       |       4.91 |     7
('umquam', 'tam')              |       4.90 |     5
('primum', 'deinde')           |       4.90 |     9
('convoco', 'discipulus')      |       4.90 |     7
('pompeius', 'crassus')        |       4.90 |     5
('pater', 'familia')           |       4.89 |    12
('castra', 'passus')           |       4.89 |     6
('summus', 'auctoritas')       |       4.88 |     7
('solum', 'etiam')             |       4.88 |    35
('fructus', 'affero')          |       4.88 |     9
('levo', 'vox')                |       4.87 |     5
('pascha', 'discipulus')       |       4.87 |     6
('deus', 'immortalis')         |       4.86 |    13
